country_name,year,mental_health_value,indicator_code
PRK,2007,7.360494534,MH_12
GLOBAL,2013,10.21287055,MH_12
GUY,2007,13.9688289,MH_12
ATG,2017,0.0,MH_12
LKA,2006,41.45967195,MH_12
AUS,2009,5.033358966,MH_12
GMB,2002,9.395693565,MH_12
IRQ,2014,2.145421445,MH_12
SGP,2019,7.147938953,MH_12
BLR,2008,30.38531188,MH_12
CHE,2001,8.468313309,MH_12
LBY,2009,7.087092895,MH_12
MNE,2000,14.87887731,MH_12
WB_UMI,2020,4.117924163,MH_12
WB_HI,2014,13.28872835,MH_12
MLI,2005,10.38770079,MH_12
CHN,2011,10.63975265,MH_12
MYS,2005,7.92299299,MH_12
SWE,2009,13.01580666,MH_12
ARM,2012,3.105175609,MH_12
KIR,2017,36.73807161,MH_12
NGA,2001,16.58135669,MH_12
RUS,2001,84.15779385,MH_12
EST,2010,26.63612919,MH_12
ERI,2009,11.04401729,MH_12
MNE,2009,19.78807968,MH_12
MAR,2005,4.427295676,MH_12
GHA,2001,2.007221862,MH_12
VNM,2009,10.71074695,MH_12
WSM,2019,15.08589018,MH_12
PRY,2003,3.995211925,MH_12
ISR,2003,2.243586803,MH_12
CRI,2000,1.500653386,MH_12
CUB,2007,9.913036443,MH_12
ARM,2008,2.307041066,MH_12
ATG,2015,0.0,MH_12
PRK,2013,9.016719277,MH_12
PAN,2014,4.125503846,MH_12
MRT,2000,3.40565175,MH_12
PAK,2008,8.177565678,MH_12
ESP,2005,9.398591127,MH_12
BFA,2021,26.18347049,MH_12
KOR,2003,13.63143167,MH_12
DOM,2014,6.527733984,MH_12
MYS,2000,5.655784878,MH_12
HND,2012,1.308876471,MH_12
RWA,2014,21.64855813,MH_12
COL,2012,6.42674026,MH_12
USA,2015,19.54800289,MH_12
DJI,2009,8.156070761,MH_12
KAZ,2016,35.97123342,MH_12
BIH,2019,3.014601213,MH_12
ARG,2001,17.42866671,MH_12
BIH,2003,9.095160259,MH_12
BOL,2016,6.278458789,MH_12
DOM,2008,8.434657782,MH_12
VEN,2007,1.659922431,MH_12
SLE,2012,13.26458722,MH_12
SVK,2004,20.846422,MH_12
SDN,2012,5.841175024,MH_12
GNQ,2010,5.255450109,MH_12
CRI,2000,11.60654487,MH_12
KAZ,2020,17.47849424,MH_12
TKM,2011,7.851189248,MH_12
KAZ,2008,11.07314165,MH_12
QAT,2002,17.40472389,MH_12
DEU,2009,9.130142864,MH_12
CRI,2010,1.844501527,MH_12
MMR,2003,4.173326631,MH_12
ATG,2009,0.0,MH_12
CHN,2010,9.550787276,MH_12
GLOBAL,2016,6.01071529,MH_12
CMR,2011,23.37363193,MH_12
LCA,2014,7.035565194,MH_12
QAT,2018,5.828837062,MH_12
TUN,2008,2.832805889,MH_12
BTN,2020,6.842191537,MH_12
PRK,2013,7.413033084,MH_12
SLV,2021,3.075865328,MH_12
PRK,2010,7.707374882,MH_12
BWA,2017,13.69987551,MH_12
ZAF,2009,17.51359171,MH_12
BEN,2003,5.299124723,MH_12
LTU,2012,29.24303869,MH_12
WPR,2015,5.690759123,MH_12
LUX,2001,18.97199769,MH_12
TON,2017,5.42395316,MH_12
HUN,2012,7.513219027,MH_12
SEN,2016,11.97605077,MH_12
OMN,2002,0.720864312,MH_12
ALB,2000,5.073942899,MH_12
NPL,2009,8.023174647,MH_12
DEU,2016,8.872055196,MH_12
JAM,2010,1.148535472,MH_12
KEN,2020,4.957419908,MH_12
CPV,2014,17.45676961,MH_12
MDG,2000,6.181669563,MH_12
TLS,2015,5.992193606,MH_12
NLD,2000,11.14267701,MH_12
VEN,2020,13.64843636,MH_12
BWA,2005,12.26467176,MH_12
BRB,2005,8.623048657,MH_12
DNK,2017,4.719461429,MH_12
GRC,2021,5.767320892,MH_12
CRI,2009,1.731183776,MH_12
ISR,2015,1.864893847,MH_12
PRY,2019,8.083398889,MH_12
DZA,2011,2.531231768,MH_12
FIN,2006,8.424256366,MH_12
DNK,2000,18.80979051,MH_12
STP,2005,1.317052046,MH_12
ISL,2007,14.05856388,MH_12
BIH,2021,9.514452066,MH_12
BGD,2014,3.142485499,MH_12
SVN,2012,26.99740259,MH_12
GMB,2018,5.401726902,MH_12
TTO,2005,3.760277784,MH_12
CHL,2009,12.12307007,MH_12
BHS,2013,0.81821649,MH_12
AFR,2011,5.476302265,MH_12
FJI,2009,10.13607529,MH_12
GHA,2005,2.274785244,MH_12
CIV,2004,10.8877835,MH_12
FIN,2002,9.0731481,MH_12
BEL,2006,9.096847813,MH_12
BRA,2006,8.310179684,MH_12
BHR,2012,5.237550853,MH_12
QAT,2013,8.294720261,MH_12
IDN,2011,1.939507926,MH_12
BLR,2009,55.83277267,MH_12
KOR,2016,12.11706503,MH_12
POL,2008,14.49373695,MH_12
BEN,2019,5.055931927,MH_12
BLZ,2003,12.566996,MH_12
KGZ,2005,23.89845998,MH_12
ETH,2021,17.1193722,MH_12
BRA,2001,8.426090602,MH_12
CUB,2019,3.124650576,MH_12
SVN,2008,25.75467548,MH_12
PRK,2004,7.375991962,MH_12
AUS,2004,4.15684229,MH_12
GNB,2010,6.545505543,MH_12
SEN,2002,19.07861096,MH_12
JAM,2010,0.327019375,MH_12
PSE,2020,0.792393701,MH_12
BGD,2021,3.940778145,MH_12
POL,2001,27.47683732,MH_12
MRT,2007,3.067730286,MH_12
DNK,2006,16.00057748,MH_12
RUS,2020,17.64735028,MH_12
SYR,2014,0.737953501,MH_12
BIH,2004,8.83336006,MH_12
JPN,2000,9.64479268,MH_12
CHL,2002,2.997844423,MH_12
CIV,2006,18.6859276,MH_12
CYP,2003,2.680495532,MH_12
CHN,2009,8.578236065,MH_12
SYC,2005,7.914661469,MH_12
GIN,2004,10.53302239,MH_12
TJK,2019,1.836951062,MH_12
DNK,2004,11.33628536,MH_12
TON,2000,5.983385345,MH_12
CHN,2013,6.313189168,MH_12
ZMB,2021,5.542003279,MH_12
OMN,2020,0.296987038,MH_12
ARE,2006,2.525866347,MH_12
ALB,2009,6.798613323,MH_12
MNG,2003,32.49437242,MH_12
WSM,2006,18.37553099,MH_12
NLD,2009,10.99857359,MH_12
BOL,2015,6.319821776,MH_12
POL,2017,2.727264572,MH_12
PAK,2004,4.157269851,MH_12
GAB,2016,3.79200359,MH_12
AMR,2008,3.534184958,MH_12
WB_LI,2006,10.67759594,MH_12
COG,2016,5.952505817,MH_12
PHL,2018,4.231568789,MH_12
CMR,2017,5.957407579,MH_12
