country_name_x,year,mental_health_value,indicator_code,country_name_matched,country_name_y,GDP_per_capita,School_enrollment,Unemployment
LAO,2001,7.24424087,MH_12,Lao PDR,Lao PDR,320.316005439568,35.1896514892578,1.881
LVA,2015,5.527948519,MH_12,El Salvador,El Salvador,3790.34089108162,70.725825383614,3.998
RWA,2000,26.36011045,MH_12,Norway,Norway,38178.2368777076,116.452041625977,3.458
CHE,2010,15.18190098,MH_12,Seychelles,Seychelles,10934.79494629,70.6972427368164,7.757837937420643
KOR,2011,17.62144999,MH_12,"Korea, Dem. People's Rep.","Korea, Dem. People's Rep.",14722.823314233625,79.72026252508348,3.516
SYR,2013,0.303834671,MH_12,Syrian Arab Republic,Syrian Arab Republic,985.892669227054,47.5814208984375,14.5
COM,2008,9.717774651,MH_12,Comoros,Comoros,1455.02768595586,79.72026252508348,4.416
THA,2021,4.756696042,MH_12,Thailand,Thailand,7057.20754802279,84.6644528199547,1.215
DOM,2019,5.991099198,MH_12,Dominica,Dominica,9491.14995962374,105.625543006082,7.757837937420643
AFR,2009,5.391552252,MH_12,Central African Republic,Central African Republic,456.471673898404,11.9955196380615,5.575
FRA,2002,8.510299095,MH_12,France,France,24144.5727019529,103.186340332031,8.702
HUN,2006,31.87747062,MH_12,Hungary,Hungary,11478.4891640501,97.7556076049805,7.494
IND,2015,12.68974825,MH_12,India,India,1583.99815907985,74.6113662719727,7.629
GAB,2005,13.32683883,MH_12,Gabon,Gabon,6547.87613955186,79.72026252508348,16.91
BEL,2018,14.42022055,MH_12,Belarus,Belarus,6360.037502312,101.596010989492,4.763
LVA,2001,27.58765941,MH_12,El Salvador,El Salvador,2058.04459070452,57.1768608093262,6.96
GIN,2013,5.816705873,MH_12,British Virgin Islands,British Virgin Islands,14722.823314233625,96.7221135029354,7.757837937420643
COM,2011,12.36030167,MH_12,Comoros,Comoros,1531.43789372951,79.72026252508348,4.12
SWE,2006,16.57530326,MH_12,Sweden,Sweden,46531.3762240485,101.204086303711,7.066
ARG,2021,12.17525612,MH_12,Argentina,Argentina,10738.0179223384,115.735778808594,8.736
KEN,2014,5.970908747,MH_12,Kenya,Kenya,1482.81566253497,79.72026252508348,2.767
QAT,2009,8.408267582,MH_12,Qatar,Qatar,60785.7351551657,97.2014999389648,0.31
HUN,2017,5.280463091,MH_12,Hungary,Hungary,14736.1668157258,104.29077911377,4.156
UKR,2019,19.10630831,MH_12,Ukraine,Ukraine,3619.86157226563,84.4568283620119,8.194
TUR,2012,3.139842915,MH_12,Turkiye,Turkiye,11776.7593362033,85.0204315185547,9.21
